職缺內容,公司名稱,內容,地址,薪資,網址
(Big Data Team) Python Backend Engineer,伊諾科技有限公司,"我們期待您在加入伊諾後，不會只想安逸的當一個只召喚爬蟲的 Python 攻城獅，而是渴望挑戰以前沒做過的各種任務。在工作中學習，經由學習來完成任務，藉由完成任務的經驗來造就大神。

當公司業務需要資料來支持時，開發團隊會希望 Python 工",台北市內湖區,待遇面議,//www.104.com.tw/job/6ucvg?jobsource=jolist_c_relevance
【實習/工讀】軟體工程師(Java/Python),艾斯移動股份有限公司,"值的你。

新創團隊最棒的地方，除了彈性工作時間與開放思想，我們重視個人成長，不框限職能範圍，
只要自己職務上的工作領域上做好，你可以在任何時候經由公司資源去發展斜槓能力。


【工作內容】
1.   擁有1年以上 Java或 Python研發經驗",台北市大安區,時薪160元,//www.104.com.tw/job/6rj5s?jobsource=jolist_c_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司," use python/django to build the web app that managing the AI engines. You're welcome to work as a fullstack engineer, our",台北市大安區,待遇面議,//www.104.com.tw/job/73xzq?jobsource=jolist_c_relevance
Python 資料科學工程師 - 中階,台灣競遊智慧網路有限公司,"1. 需熟悉以下項目

- Python 編程語言。
- 數據結構和演算法。
- 資料分析 (領域資料洞悉、特徵選擇、資料前處理等)。 
- 使用深度學習相關框架。
- 使用 Git 控管程式版本。

2. 工作內容包含但不限於以下項目

-",台北市中山區,"月薪60,000元以上",//www.104.com.tw/job/7bwo5?jobsource=jolist_c_relevance
資訊部Python 工程師,童綜合醫療社團法人童綜合醫院,"熟Python, Flask, Pandas, 基本SQL語法。
對HTML，CSS，Javascript有基本之認識(不一定要非常專精，但與前端工程師溝通時會需要初階的知識)。
具備Linux基本操作能力，與基本Git使用能力。
具備良好",台中市梧棲區,"月薪35,000~80,000元",//www.104.com.tw/job/6upji?jobsource=jolist_c_relevance
Big Data Back-End Developer_Python 大數據後端開發工程師,雲端互動股份有限公司," Hadoop 的串接及使用
• 熟悉後端程式開發及相關框架: Python (Django)
• 具備 APIs設計及開發經驗
• 具備Swagger、JWT整合經驗
• 具備基本 OOP 觀念
• 熟悉 Git",台北市大安區,待遇面議,//www.104.com.tw/job/7bsn0?jobsource=jolist_c_relevance
後端工程師 Python Engineer,全富數位有限公司,"歡迎有一定程度 Python基礎，並具 Web 研發相關知識， 
願意對技術持續精進的熱血工程師投遞。 

職責要求： 
1. 從事 Python Web 相關工作。 
2. 熟悉網路爬蟲技術
3. 持續優化產品的效能和質量
4.",台中市北區,"月薪50,000~120,000元",//www.104.com.tw/job/6izvs?jobsource=jolist_c_relevance
Python 軟體工程師 - 中階,台灣競遊智慧網路有限公司,"主要工作內容

- 針對內部模型專案需求開發程式。
- 有軟體程式設計、修改、安裝、測試及維護之經驗。
- 自主測試及除錯能力。
- 撰寫軟體技術文件。
- 基本程式重構能力。

其他職務相關要求

- 程式撰寫習慣良好且符合團隊準則。
- 懂得使用 Git 做版本控管。
- 了解物件導向概念並可實作在程式中。

程式開發相關經驗兩年以上。",台北市中山區,"月薪50,000元以上",//www.104.com.tw/job/7bwhn?jobsource=jolist_c_relevance
Python工程師(資深工程師),龍騰文化事業股份有限公司,"職務內容：
1. 負責搭建和持續改進現有平台
2. 負責數據分析平台開發與優化
3. 其他主管交辦事項

必備條件(含技術工具、語言及工作經歷)：
- 資訊相關科系專科以上學歷、至少2年的後端Web開發經驗
- 熟悉Python語言以及常用的資料",新北市五股區,待遇面議,//www.104.com.tw/job/7a7ms?jobsource=jolist_c_relevance
新創電商Backend Engineer (Python),霖園關係企業_神坊資訊股份有限公司," experience with Python applications in production.
●     1+ years experience with HTML5, CSS, and JavaScript.
●     Experience with",台北市信義區,待遇面議,//www.104.com.tw/job/7aenr?jobsource=jolist_c_relevance
